Molecule ChEMBL ID	Smiles	Standard Type	Standard Value
CHEMBL436088	O=C(COc1ccc(Cl)cc1Cl)N[C@@H](Cc1cccc(Br)c1)[C@H](O)C[C@H](CCc1ccc(Cl)cc1Cl)S(=O)(=O)c1ccc(F)cc1	Ki	7000
CHEMBL458675	CNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(C[C@H](C)O)S(=O)(=O)c1ccco1	Ki	537.03
CHEMBL266948	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2cccc(F)c2)C(=O)O1)S(=O)(=O)c1ccc2c(c1)OCO2	Ki	0.107
CHEMBL1790651	CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@@H](O)[C@H]1Cc2ccc(cc2)OCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)N[C@H](C(N)=O)C(C)C	Ki	165
CHEMBL3349489	CC[C@H](C)[C@H](NC(=O)C1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)OC(C)(C)C)C(=O)N[C@H](C(=O)OC)C(C)C	Ki	7.8
CHEMBL38281	NC(=O)c1cccc(CN2C(=O)N[C@H](CCc3ccccc3)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	5.61
CHEMBL32143	N#CN=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccccc1	Ki	20
CHEMBL76486	CCC(Cc1ccccc1)c1cc(O)c(C(c2cccc(NS(=O)(=O)c3ccc(C#N)cc3)c2)C2CC2)c(=O)o1	Ki	5.7
CHEMBL22164	CCC(Cc1ccccc1)c1cc(O)c(C(CC)c2ccccc2)c(=O)o1	Ki	38
CHEMBL78674	Nc1ccc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)cc1-n1cccn1	Ki	0.045
CHEMBL436952	COC(=O)N[C@H](C(=O)NN(Cc1ccc(C#Cc2ccccn2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C	Ki	9
CHEMBL328036	CCN(c1ccccc1)S(=O)(=O)CC[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)S(C)(=O)=O	Ki	4.6
CHEMBL328337	CCC1(N(CCO)C(=O)c2ccccc2CCC(O)Cc2ccc(C)cc2C(=O)N(CCO)C(C)(C)c2ccc(OCc3cccnc3)cc2)CCCC1	Ki	2
CHEMBL318349	CC(C)[C@H](NC(=O)[C@H](NCc1ccccc1)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)OCc1ccccc1)C(=O)NCc1ccccc1	Ki	44668359215
CHEMBL114622	CNC(=O)[C@@H](NC(=O)[C@H](Sc1ccccc1)[C@H](O)[C@@H](O)[C@@H](Sc1ccccc1)C(=O)N[C@H](C(=O)NC)C(C)C)C(C)C	Ki	1.8
CHEMBL276737	O=c1c2c(oc(O)c1C(c1cccc(NS(=O)(=O)c3ccc(C(F)(F)F)c(C(F)(F)F)c3)c1)C1CC1)CCCCCC2	Ki	47
CHEMBL284136	O=C1N(Cc2cccc(O)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(O)c1	Ki	0.12
CHEMBL317690	O=C(NC1c2ccccc2C[C@H]1O)[C@H](OCc1cc(F)cc(F)c1)[C@H](O)[C@@H](O)[C@@H](OCc1cc(F)cc(F)c1)C(=O)N[C@H]1c2ccccc2C[C@H]1O	Ki	5
CHEMBL29089	O=C(O)CCCCCN1C(=O)N(CCCCCC(=O)O)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1	Ki	0.24
CHEMBL85990	Cc1ccnc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5cc(C)ccn5)c4)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)c2)c1	Ki	0.027
CHEMBL13134	CC(C)[C@H](NC(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C	Ki	0.031
CHEMBL442159	CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)NCC(O)C1Cc2ccc(cc2)OCCCC(=O)NC(CC(N)=O)C(=O)N1	Ki	12
CHEMBL1790238	CC[C@@H](C)[C@@H]1NC(=O)[C@@H](NC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(C)c2)Cc2ccc(cc2)OCCCNC1=O	Ki	15
CHEMBL29671	O=C1N(Cc2cccc(Br)c2)C2CS(=O)(=O)[C@@H](CCCCCO)C2N1Cc1cccc(Br)c1	Ki	6900
CHEMBL37118	O=C1N(Cc2cccc(O)c2)[C@H](Cc2ccccc2)C(O)[C@@H](Cc2ccccc2)N1Cc1cccc(O)c1	Ki	33
CHEMBL205359	COC(=O)N[C@H](C(=O)NN(Cc1cccc(/C=C/c2ccccc2)c1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C	Ki	14
CHEMBL340083	Cc1ccc(NC(=O)[C@H](OCc2ccccc2)[C@H](O)[C@@H](O)[C@@H](OCc2ccccc2)C(=O)Nc2ccc(C)cc2O)c(O)c1	Ki	
CHEMBL323763	CC(C)[C@@H]1NC(=O)[C@@H]([C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CSc2nncn2C)C(C)(C)C)NCc2ccc(cc2)OCCOCCNC1=O	Ki	11.1
CHEMBL312930	O=C1N(Cc2cccc(Cl)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(Cl)c1	Ki	0.89
CHEMBL367066	CCC(C)[C@H](NC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)C(CC1CCCCC1)NC(=O)c1ncccc1OCSc1ccccc1)C(=O)NCc1nc2ccccc2[nH]1	Ki	140
CHEMBL36129	N#CN=C1N(CC2CCC2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1CC1CCC1	Ki	2
CHEMBL275633	O=c1c2c(oc(O)c1C(c1cccc(NS(=O)(=O)c3ccccc3C(F)(F)F)c1)C1CC1)CCCCCC2	Ki	21
CHEMBL1790793	CC[C@@H](C)[C@H](NC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)CCCC[C@@H]1SCC2NC(=O)NC21)C(=O)NCCc1scnc1C	Ki	130
CHEMBL432552	COCCOCCCc1cc(O)c(C(c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)C2CC2)c(=O)o1	Ki	1.6
CHEMBL118979	O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cscn1)OCc1ccccn1	Ki	4.7
CHEMBL315825	O=C(Nc1ccc(C(F)(F)F)cn1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ccc(C(F)(F)F)cn4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.09
CHEMBL103927	CNC(=O)[C@@H](NC(=O)[C@H](OCc1cc(F)cc(F)c1)[C@H](O)[C@@H](O)[C@@H](OCc1cc(F)cc(F)c1)C(=O)N[C@H](C(=O)NC)C(C)C)C(C)C	Ki	1.98
CHEMBL315300	O=C1N(Cc2ccncc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2ccccc2c1	Ki	6.9
CHEMBL36939	O=C1N[C@H](CCc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(O)c1	Ki	2.6
CHEMBL87476	O=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2ccccc2c1	Ki	2.3
CHEMBL338844	O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccccc2)[C@H](O)CN(Cc2ccccc2)N1Cc1ccc(CO)cc1	Ki	0.22
CHEMBL313288	Nc1cccc(N2C(=O)N(Cc3cccc(C(=O)Nc4nc5ccccc5[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.023
CHEMBL333392	O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(O)c1)OCc1ccccn1	Ki	0.85
CHEMBL1791333	CC[C@H](C)[C@@H](NC(=O)[C@H]([C@H](C)O)N(C)C(=O)CCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)NC(CO)C(N)=O	Ki	273
CHEMBL342772	N=C(NO)c1cccc(CN2C(=O)N(Cc3cccc(/C(N)=N/O)c3)[C@H](CCc3ccccc3)[C@H]2CCc2ccccc2)c1	Ki	17
CHEMBL143135	CCC(C1=C(O)OC(c2ccccc2)(C2CCCCC2)CC1=O)c1cccc(O)c1	Ki	610
CHEMBL3349847	CC(C)(C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1	Ki	4
CHEMBL49936	COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C)C(C)C	Ki	120.23
CHEMBL195426	CCC(C)[C@H](NC(=O)CCCCCCCCCCCCCCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(C(=O)c2ccccc2)cc1)C(=O)O)C(=O)N[C@H](Cc1ccccc1)C(N)=O	Ki	223
CHEMBL190450	CCC(C)[C@H](NC(=O)CCCCCCCCCCCCCCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)O)C(=O)N[C@H](Cc1ccccc1)C(N)=O	Ki	384
CHEMBL16421	O=c1c2c(oc(O)c1C(c1cccc(S(=O)(=O)Nc3ccccc3)c1)C1CC1)CCCCCC2	Ki	36
CHEMBL76484	CNCCCCC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C	Ki	360
CHEMBL219748	COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3ccc(C(C)=O)cc3)C(=O)O2)cc1	Ki	0.004
CHEMBL219696	COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3cccc(F)c3)C(=O)O2)cc1	Ki	0.083
CHEMBL288008	CC(C)[C@@H]1NC(=O)CCCCCOc2ccc(cc2)C[C@@H]([C@H](O)CN(C2CCCC2)S(=O)(=O)c2ccc(N)cc2)NC1=O	Ki	3
CHEMBL288836	CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCCC(=O)N[C@@H](C(C)C)C(=O)N1)S(=O)(=O)c1ccccc1	Ki	0.4
CHEMBL284136	O=C1N(Cc2cccc(O)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(O)c1	Ki	0.12
CHEMBL1790229	CC[C@@H](C)[C@@H]1NC(=O)[C@@H](NC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N2CCCC2=O)Cc2ccc(cc2)OCCCNC1=O	Ki	1
CHEMBL124093	CNC(=O)[C@@H](NC(=O)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccccc1)C(=O)N[C@H](C(=O)NC)c1ccccc1)c1ccccc1	Ki	2.3
CHEMBL113560	CC(C)[C@@H]1NC(=O)[C@@H]([C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)(C)C)NCc2ccc(cc2)OCCOCCNC1=O	Ki	8
CHEMBL339543	Cc1cc(O)ccc1NC(=O)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccccc1)C(=O)Nc1ccc(O)cc1C	Ki	
CHEMBL372010	CCCCCCCC(NC(=O)c1cccc(O)c1O)C(O)CN(CC(C)C)S(=O)(=O)c1ccc(OC)cc1	Ki	270
CHEMBL15705	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)C(F)(F)C(=O)NCc1ccccc1	Ki	5
CHEMBL120874	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(Cc2ccccc2)C(=O)O[C@H]2CCOC2)cc1	Ki	600
CHEMBL121036	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)OC2CCCS(=O)(=O)C2)cc1	Ki	1400
CHEMBL138147	CC(C)CC1CCCCCCc2c1oc(O)c(C(c1ccccc1)C1CC1)c2=O	Ki	30
CHEMBL316371	O=C(Cc1ccccc1)NCC(F)(F)C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1	Ki	60000000
CHEMBL2371768	COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](C)N)C(C)C)C(C)C	Ki	18
CHEMBL291578	COc1ccc(CN[C@@H](C(=O)NC2c3ccccc3C[C@H]2O)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CCc2ccccc2O)C(C)(C)C)cc1	Ki	13
CHEMBL475991	CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C[C@@H](O)CC)S(=O)(=O)c1ccc(OC)cc1	Ki	0.8511
CHEMBL457782	COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2)cc1	Ki	0.1413
CHEMBL514587	Cc1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN(CC2CC2)S(=O)(=O)c2ccco2)n1	Ki	10000
CHEMBL455855	COc1cccc(S(=O)(=O)N(CC2CC2)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(C)n2)c1	Ki	14618
CHEMBL46967	CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@@H](C(C)C)C(=O)N1)S(=O)(=O)c1cccc2cccnc12	Ki	295
CHEMBL285282	CNc1cccc(CN2C(=O)N(Cc3cccc(NC)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)c1	Ki	4.9
CHEMBL333312	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)NCc2ccccc2)cc1	Ki	22
CHEMBL147615	O=C1N(Cc2cccc(O)c2)[C@H]([C@@H](F)Cc2ccccc2)[C@@H]([C@@H](F)Cc2ccccc2)N1Cc1cccc(O)c1	Ki	560
CHEMBL357893	CC(C)(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](NCc1ccc(OCCN2CCOCC2)cc1)C(=O)N[C@H]1c2ccccc2CC1O	Ki	9549925860
CHEMBL216912			
CHEMBL127214	CNC(=O)[C@@H](NC(=O)[C@H](OCc1ccc(-c2ccsc2)cc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccc(-c2ccsc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)C)C(C)C	Ki	1.2
CHEMBL321298	CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](NCc1ccccc1)C(=O)N[C@H](C(=O)OCc1nc2ccccc2[nH]1)C(C)C	Ki	28840315031
CHEMBL290576	O=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccccc1	Ki	3
CHEMBL367637	CC(C)[C@@H](C(=O)N[C@H]1c2ccccc2CC1O)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)c1ccccc1OCCOc1ccccc1	Ki	200
CHEMBL22164	CCC(Cc1ccccc1)c1cc(O)c(C(CC)c2ccccc2)c(=O)o1	Ki	38
CHEMBL97836	O=C1Nc2ccc(CN3C(=O)N(Cc4ccc5c(c4)C(=O)C(=O)N5)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)cc2C1=O	Ki	0.81
CHEMBL48770	CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)[C@@H](O)[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)COc1cccc2ccccc12)C(=O)NCc1ccccn1	Ki	7
CHEMBL278867	CCCCC(c1cccc(NS(=O)(=O)c2ccc(F)cc2)c1)c1c(O)c2c(oc1=O)CCCCCC2	Ki	6.1
CHEMBL421730	O=C(Nc1ncc(Cl)cc1Cl)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncc(Cl)cc4Cl)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.245
CHEMBL408110	O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccccn1)OCc1ccccn1	Ki	0.06
CHEMBL2115173	COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C)N1CCC([C@H](C)NC(=O)[C@H](C)N)=CC(Cc2ccccc2)C1=O)C(C)C)C(C)C	Ki	147000
CHEMBL1323	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1	Ki	54
CHEMBL1203922	COC(=O)N[C@H](C(=O)NN(Cc1cccc(C#Cc2cccnc2)c1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C.Cl	Ki	18
CHEMBL327566	CCC1(N(CCO)C(=O)c2ccccc2CCC(O)Cc2ccc(C)cc2C(=O)N(CCO)C2(c3ccccc3)CCCC2)CCCC1	Ki	0.4
CHEMBL114	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	Ki	0.1202
CHEMBL2092977	CCC[C@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C#N)cn3)c2)=C(O)O1	Ki	0.1
CHEMBL3350111	CN1[C@@H](COc2ccccc2)[C@@H](O)[C@H](O)[C@H](COc2ccccc2)N(C)S1(=O)=O	Ki	710
CHEMBL86651	CC(C)C(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(F)(F)C(=O)NCc1ccccc1	Ki	1
CHEMBL312178	CCC(Cc1ccccc1)c1cc(O)c(C(c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)C2CC2)c(=O)o1	Ki	1.3
CHEMBL333630	O=C(NC1c2ccccc2C[C@H]1O)[C@H](SCc1ccccc1F)[C@H](O)[C@@H](O)[C@@H](SCc1ccccc1F)C(=O)N[C@H]1c2ccccc2C[C@H]1O	Ki	4.3
CHEMBL284942	N=C(NO)c1cccc(CN2C(=O)N(Cc3cccc(/C(N)=N/O)c3)[C@H](CCc3ccccc3)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.02004
CHEMBL78357	CCC(Cc1ccccc1)c1cc(O)c(C(c2cccc(NS(=O)(=O)c3cccnc3)c2)C2CC2)c(=O)o1	Ki	12
CHEMBL21145	O=C1N(Cc2ccc(CO)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(CO)cc1	Ki	0.34
CHEMBL114	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	Ki	9
CHEMBL1790796	CC[C@@H](C)[C@H](NC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)c1ccccc1OCCCCC[C@@H]1SC[C@H]2NC(=O)N[C@@H]12)C(=O)NCc1ccccn1	Ki	10
CHEMBL1790792	CC[C@@H](C)[C@H](NC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)c1ccccc1SCCCCC[C@@H]1SCC2NC(=O)NC21)C(=O)NCCc1scnc1C	Ki	4
CHEMBL114	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	Ki	0.452
CHEMBL431321	Nc1[nH]nc2ccc(CN3C(=O)N(Cc4ccccc4)[C@H](Cc4ccccc4)[C@H](O)[C@H]3CCc3ccccc3)cc12	Ki	0.6501
CHEMBL136051	CC(C)CN([C@H](CO)CCCCNC(=O)CN(Cc1cccc(N)c1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1	Ki	6.9
CHEMBL316407	O=C(Nc1ccccn1)c1cccc(CN2C(=O)N(c3cccc([N+](=O)[O-])c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.096
CHEMBL89064	N#CCNC(=O)c1cccc(CN2C(=O)N(C(=O)CNC(=O)c3ccccc3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.024
CHEMBL220455	COc1cccc(S(=O)(=O)N(Cc2cccs2)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3cccc(F)c3)C(=O)O2)c1	Ki	188.8
CHEMBL38059	O=C1N(Cc2ccccc2)[C@H](/C=C/c2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccccc1	Ki	460
CHEMBL181767	CC(C)CN([C@@H](CCCCNC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O)S(=O)(=O)c1ccc([N+](=O)[O-])cc1	Ki	7.2
CHEMBL151130	COc1ccc(OC)c2c(O)c(O)cnc12	Ki	
CHEMBL129900	CCC(c1cccc(NS(=O)(=O)c2ccc(C#N)cc2)c1)c1c(O)c2c(oc1=O)CCCC2	Ki	0.065
CHEMBL359033	COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCCc2ccc(S(N)(=O)=O)cc2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)C)cc1	Ki	14125375446
CHEMBL120843	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)OCc2cncs2)cc1	Ki	38
CHEMBL339376	Cc1ccc(S(=O)(=O)N(CC(C)C)[C@@H](CCCCNC(=O)C2CC2c2ccccc2)C(=O)O)cc1	Ki	300
CHEMBL11266	O=C(Nc1nc2ccccc2[nH]1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4nc5ccccc5[nH]4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.024
CHEMBL3350112	CNC(=O)CN1[C@@H](COc2ccccc2)[C@@H](O)[C@H](O)[C@H](COc2ccccc2)N(CC(=O)NC)S1(=O)=O	Ki	25000
CHEMBL2062130	CC[C@H](C)[C@H](NC(=O)[C@@H](C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)C(C)C)C(C)C)C(=O)N[C@H](C(=O)O)C(C)C	Ki	1
CHEMBL432093	Nc1noc2ccc(CN3C(=O)N(Cc4ccc5onc(N)c5c4)[C@H](Cc4ccccc4)[C@H](O)[C@H]3CCc3ccccc3)cc12	Ki	0.4074
CHEMBL37701	NC(=O)c1cc(CN2C(=O)N[C@H](CCc3ccccc3)[C@@H](O)[C@H]2Cc2ccccc2)ccc1F	Ki	14
CHEMBL342152	Cc1ccc(S(=O)(=O)N(CC(C)C)[C@H](CO)CCCCNC(=O)CN(Cc2ccccc2[N+](=O)[O-])c2ccccc2)cc1	Ki	3.9
CHEMBL2165884	CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H](C)CC(=O)OC)S(=O)(=O)c1ccc2ncsc2c1	Ki	45.92
CHEMBL2165908	CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@@H](C)C(=O)OC)S(=O)(=O)c1ccc(OC)cc1	Ki	1.665
CHEMBL37618	O=C1N[C@H](Cc2ccccc2)[C@H](O)[C@@H](CCc2ccccc2)N1Cc1ccc2[nH]ncc2c1	Ki	44.06
CHEMBL383290	COC(=O)N[C@H](C(=O)NN(Cc1cccc(-c2ccccc2)c1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C	Ki	23
CHEMBL421730	O=C(Nc1ncc(Cl)cc1Cl)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ncc(Cl)cc4Cl)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.24
CHEMBL187387	COc1ccc(S(=O)(=O)N(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)OC2CCCCC2)cc1	Ki	2.8
CHEMBL16641	CS(=O)(=O)Nc1cccc(C(c2c(O)c3c(oc2=O)CCCCC3)C2CC2)c1	Ki	120
CHEMBL16266	CCCCOc1ccc(S(=O)(=O)Nc2cccc(C(c3c(O)c4c(oc3=O)CCCCCC4)C3CC3)c2)cc1	Ki	18
CHEMBL86971	CCN(C(C)C)S(=O)(=O)CC[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)S(C)(=O)=O	Ki	0.8
CHEMBL36939	O=C1N[C@H](CCc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(O)c1	Ki	2.6
CHEMBL137587	Cc1ccc(S(=O)(=O)N(CC(C)C)[C@H](CO)CCCCNC(=O)CN(Cc2ccc([N+](=O)[O-])cc2)c2ccccc2)cc1	Ki	
CHEMBL315742	O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccncc1)OCc1ccncc1	Ki	0.45
