Molecule ChEMBL ID	Smiles	Standard Type	Standard Value
CHEMBL94384	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)S(=O)(=O)N1ONc2ccccc21	Ki	0.1
CHEMBL59405	O=C(NC(Cc1ccccc1)C(O)CN1C/C=C\CCCCCCCC(c2ccccc2)OC1=O)O[C@H]1CO[C@H]2OCC[C@H]21	Ki	229
CHEMBL224644	CC[C@H](C)[C@H](NC(=O)CCCOc1ccc2ccc(OCCCC(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)OC)C(C)C)C(C)C)cc2n1)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)OC)[C@@H](C)O	Ki	400
CHEMBL16256	CCCC(c1cccc(NS(=O)(=O)c2ccc(Cl)cc2)c1)c1c(O)c2c(oc1=O)CCCCCC2	Ki	4
CHEMBL186806	Cc1cc(CN2CC(Cc3ccccc3)N(C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)NC3c4ccccc4C[C@H]3O)C2=O)cc(C)c1C	Ki	100
CHEMBL168779	CCCCCC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N[C@H](C(=O)NCc1ccccn1)C(C)CC)C(C)C	Ki	47
CHEMBL117437	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN2C(=O)C3(CCCCC3)OC[C@@H]2Cc2ccccc2)cc1	Ki	2
CHEMBL275899	CCC(c1ccccc1)c1c(O)c2c(oc1=O)CCCCCC2	Ki	75
CHEMBL417993	O=c1c2c(oc(O)c1C(c1cccc(NS(=O)(=O)c3cccc4ccccc34)c1)C1CC1)CCCCCC2	Ki	5.5
CHEMBL386849			
CHEMBL405122			
CHEMBL3350189	CC[C@H](C)[C@H](NC(=O)[C@H](C(C)C)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)COc1cccc2ccccc12)C(=O)NCc1ccccn1	Ki	1
CHEMBL1790672	CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C[C@@H](O)[C@H]1Cc2ccc(cc2)OCCCC(=O)NC(CC(N)=O)C(=O)N1)C(=O)N[C@H](C(N)=O)C(C)C	Ki	470
CHEMBL316144	CC(C)CCN(C[C@@H](O)[C@H]1Cc2ccc(cc2)OCCCC(=O)N[C@@H](C(C)C)C(=O)N1)S(=O)(=O)c1ccccc1	Ki	4
